ltable_id,rtable_id
120,4884
120,6906
120,19149
634,16536
690,12896
690,16537
705,6906
1272,4884
1272,6906
317,1082
1022,12116
2369,20052
707,11829
1361,6045
1361,14142
1361,14955
1361,21127
2378,11830
1280,17949
427,16276
500,17072
587,17072
726,17072
1325,16276
1325,17072
1482,20684
1525,16276
1662,5533
1662,16276
1662,17072
2098,5533
2098,17072
802,6685
802,8718
802,10682
802,11210
802,14628
802,19001
2195,276
2235,276
495,225
495,235
495,315
495,870
495,8229
495,13707
495,15884
495,16306
495,16308
495,17494
495,17741
495,17827
495,18141
495,19259
495,20483
495,20675
495,20981
495,21207
495,21208
495,21434
645,225
645,235
645,315
645,870
645,8229
645,13707
645,16306
645,16308
645,17494
645,17741
645,17827
645,18141
645,19259
645,20483
645,20675
645,21207
645,21208
645,21434
737,225
737,235
737,315
737,870
737,8229
737,13707
737,16306
737,16308
737,17419
737,17494
737,17741
737,17827
737,18141
737,19259
737,20483
737,20675
737,20981
737,21207
737,21208
737,21434
973,235
973,315
973,870
973,8229
973,13707
973,16306
973,16308
973,17494
973,17741
973,17827
973,18141
973,19259
973,20483
973,20675
973,20981
973,21207
973,21208
973,21434
973,21568
1103,225
1103,235
1103,315
1103,870
1103,8229
1103,13707
1103,16306
1103,16308
1103,17494
1103,17741
1103,17827
1103,18141
1103,19259
1103,20483
1103,20675
1103,20981
1103,21207
1103,21208
1103,21434
1418,225
1418,235
1418,315
1418,870
1418,8229
1418,13707
1418,16306
1418,16308
1418,17494
1418,17741
1418,17827
1418,18141
1418,19259
1418,20483
1418,20675
1418,20981
1418,21207
1418,21208
1418,21434
1454,225
1454,235
1454,8229
1454,16306
1454,17494
1454,20483
1454,21207
1454,21208
1771,225
1771,315
1771,870
1771,8229
1771,13707
1771,16306
1771,16308
1771,17494
1771,17827
1771,18141
1771,19259
1771,20483
1771,20675
1771,20981
1771,21207
1771,21208
1771,21434
1816,225
1816,235
1816,315
1816,870
1816,8229
1816,13707
1816,16306
1816,16308
1816,17494
1816,17827
1816,18141
1816,19259
1816,20981
1816,21207
1816,21208
1816,21434
1944,121
1944,225
1944,235
1944,315
1944,870
1944,8229
1944,13707
1944,16306
1944,16308
1944,17494
1944,17741
1944,17827
1944,18141
1944,19259
1944,20483
1944,20675
1944,20981
1944,21207
1944,21208
1944,21434
2216,225
2216,235
2216,315
2216,8229
2216,16306
2216,18141
2216,20675
2216,20981
2216,21207
2216,21208
2295,225
2295,235
2295,315
2295,870
2295,8229
2295,13707
2295,16306
2295,16308
2295,17494
2295,17741
2295,17827
2295,18141
2295,19259
2295,20483
2295,20675
2295,20981
2295,21207
2295,21208
2412,225
2412,235
2412,315
2412,870
2412,4748
2412,4752
2412,8229
2412,13707
2412,16306
2412,16308
2412,17494
2412,17827
2412,18141
2412,19259
2412,20981
2412,21207
2412,21208
2412,21434
2535,225
2535,235
2535,315
2535,870
2535,8229
2535,13707
2535,16306
2535,16308
2535,17494
2535,17741
2535,17827
2535,18141
2535,19259
2535,20483
2535,20675
2535,20981
2535,21207
2535,21208
2535,21434
639,10128
1542,10127
148,326
148,16307
148,16350
148,16397
148,17640
148,17831
148,18142
148,18439
261,326
261,3238
261,3988
261,16307
261,16397
261,17640
261,17831
261,18142
261,18439
261,18769
336,326
336,3988
336,16307
336,16397
336,17640
336,17831
336,18142
336,18163
336,18439
362,326
362,3235
362,3988
362,16307
362,16397
362,17640
362,17831
362,18142
362,18439
1007,326
1007,3988
1007,16307
1007,16397
1007,17640
1007,17831
1007,18142
1007,18439
1401,4022
1401,15189
1401,19142
2239,16307
2239,16397
2239,17640
2239,17831
2239,18142
2239,18439
94,15278
329,1664
329,1696
329,3302
329,3313
329,7314
329,9306
329,13282
329,13291
547,1328
547,9295
547,9306
872,1328
872,15268
1200,9306
1200,17909
1200,19354
1210,1324
1210,1691
1210,9306
1210,15278
1210,17255
1210,17909
1210,18780
1217,3299
1217,18780
1270,159
1271,159
1271,1691
1271,9306
1271,17255
1271,17909
1271,18780
1441,159
1441,15278
1441,15283
1441,15284
1441,17255
1441,17909
1909,159
1909,1323
1909,5258
1909,9306
1909,11284
1909,13282
1909,15284
1909,17255
1909,17907
1909,17909
1946,15270
2237,6524
2237,9306
2237,17255
2237,17256
2237,17907
2237,18780
2273,159
2273,1691
2273,5255
2273,15278
2273,17255
2273,17909
2527,159
2527,13282
2527,17909
13,9474
13,17980
13,19147
1242,2465
1984,1120
2063,18324
79,17238
79,18186
203,16378
1016,16378
1016,18557
1241,16378
1241,18558
1526,16378
2284,16378
2284,18187
522,14014
128,714
128,2701
128,5616
128,10640
258,708
258,10648
399,714
718,10648
1001,709
1001,714
1001,5616
1024,714
1024,2702
1024,10648
1024,12674
1095,2702
1095,4613
1095,5616
2111,5616
2111,10648
2324,708
2324,2237
2324,4613
2324,8682
2339,714
2339,2236
2,3636
2,4290
2,5110
2,6483
2,6485
2,6486
2,7953
2,7974
2,10391
2,10491
2,10493
2,10494
2,12179
2,14452
2,16926
2,18020
2,18192
2,18315
2,19637
2,20788
2,21059
2,21703
228,3636
228,6485
228,6486
228,15623
228,16926
228,18315
228,18949
228,19637
228,20788
228,21059
228,21703
1269,3636
1269,3684
1269,14452
1269,16926
1269,16939
1269,19637
1269,20788
1269,21059
1269,21703
1549,3636
1549,3684
1549,4290
1549,6485
1549,7974
1549,10391
1549,10454
1549,12179
1549,14452
1549,15625
1549,18020
